name,tons,color
A01,130T,transparent
A02,130T,transparent
A03,130T,transparent
A04,130T,others
A05,130T,transparent
A06,100T,transparent
A07,100T,transparent
A08,100T,others
A09,100T,others
A10,100T,others
A11,130T,transparent
A12,130T,others
A13,130T,transparent
A14,130T,others
A15,130T,others
E01,130T,others
E02,130T,white
E03,130T,white
E04,130T,others
E05,130T,others
G01,100T,others
G02,100T,transparent
G03,100T,others
G04,100T,others
G05,100T,others
G06,100T,transparent
G07,100T,others
G08,100T,white
