噸位,機台號,起始時間,結束時間,鴻海料號,品名,數量,生產時間
130T,A01透明,2020-03-26 19:30:00,2020-03-27 19:30:00,700-30257-01WB,導光柱,5568,24.0
130T,A02透明,2020-03-26 19:30:00,2020-03-27 07:30:00,1B41ATE00K01E,導光柱,2472,12.0
130T,A02透明,2020-03-27 11:30:00,2020-03-27 13:30:00,700-107159-01WA,導光柱,288,2.0
130T,A03透明,2020-03-26 23:30:00,2020-03-27 19:30:00,1B417M800-01E,導光柱,6700,20.0
130T,A04,2020-03-26 19:30:00,2020-03-28 22:27:36,1A32RGB00-01E,蓋板,8001,50.96
130T,A05透明,2020-03-26 19:30:00,2020-03-27 19:30:00,448.00237.005,導光柱,4848,24.0
100T,A06透明,2020-03-26 19:30:00,2020-03-27 03:30:00,1B517TY00K01E,導光柱,1440,8.0
100T,A06透明,2020-03-27 07:30:00,2020-03-29 12:49:48,700-32486-01PWA,導光柱,19199,53.33
100T,A07透明,2020-03-26 19:30:00,2020-03-28 01:31:48,1B41RQ500K01E,導光柱,10000,30.03
100T,A08,2020-03-26 19:30:00,2020-03-27 19:35:24,1B01M9B00-01E,側蓋,2145,24.09
100T,A09,2020-03-26 19:30:00,2020-03-27 00:30:36,700-27390-01WA,支架,982,5.01
100T,A09,2020-03-27 04:30:36,2020-03-27 10:34:48,2QU93-001E,LOGO面板,1251,6.07
100T,A09,2020-03-27 14:34:48,2020-03-29 05:01:48,1B2122C00-01E,支架,9818,38.45
100T,A10,2020-03-26 19:30:00,2020-03-27 19:30:00,700-116736-01AWA,支架,6912,24.0
130T,A11透明,2020-03-26 19:30:00,2020-03-26 22:01:48,700-24017-02WA,導光柱,625,2.53
130T,A11透明,2020-03-27 02:01:48,2020-03-27 07:07:12,700-122687-01WB,導光柱,850,5.9
130T,A12,2020-03-26 19:30:00,2020-03-27 19:30:00,700-119425-01WC,支架,1728,24.0
130T,A13透明,2020-03-26 19:30:00,2020-03-27 19:30:00,1B417M800-01E,導光柱,8040,24.0
130T,A14,2020-03-26 19:30:00,2020-03-27 07:30:00,700-116736-01BWA,支架,6912,12.0
130T,A14,2020-03-27 11:30:00,2020-03-27 22:10:12,700-24858-01WA,側蓋,1921,10.67
130T,A15,2020-03-26 19:30:00,2020-03-27 13:30:00,700-104578-04AWA,后蓋(成型),1296,18.0
130T,A15,2020-03-27 17:30:00,2020-03-28 04:31:12,1B01N8900-11E,導光柱,6582,11.02
130T,E01,2020-03-26 19:30:00,2020-03-27 19:30:00,700-108866-01,支架,5232,24.0
130T,E02白色,2020-03-26 19:30:00,2020-03-27 12:51:36,800-47905-01WC,後蓋總成,2500,17.36
130T,E02白色,2020-03-27 16:51:36,2020-03-27 17:55:12,1B21PA600-11E,腳架,238,1.06
130T,E03白色,2020-03-26 19:30:00,2020-03-27 07:35:24,700-112921-01AWA,上蓋,1451,12.09
130T,E03白色,2020-03-27 11:35:24,2020-03-27 18:35:24,700-122527-01WA,蓋板,2016,7.0
130T,E04,2020-03-26 19:30:00,2020-03-27 19:30:00,700-114270-01AWB,后蓋,2664,24.0
130T,E05,2020-03-26 19:30:00,2020-03-27 06:34:12,1B41CKD00N01E,頂蓋,1451,11.07
130T,E05,2020-03-27 10:34:12,2020-03-27 12:34:12,1B515AU00-01E,支架,686,2.0
130T,E05,2020-03-27 16:34:12,2020-03-28 09:14:24,1B01N3D00-01E,聽筒支架,8002,16.67
100T,G01,2020-03-26 19:30:00,2020-03-26 23:30:00,2QU91-112E,LED 右面板,576,4.0
100T,G01,2020-03-27 03:30:00,2020-03-27 09:03:36,2QU91-111E,LED 小面板,1001,5.56
100T,G01,2020-03-27 13:03:36,2020-03-28 04:03:36,700-103551-01WA,支架,2400,15.0
100T,G04,2020-03-26 19:30:00,2020-03-27 19:30:00,700-44607-03WB,支架,3456,24.0
100T,G05,2020-03-26 19:30:00,2020-03-27 09:30:00,700-36486-01PWB,支架,2520,14.0
100T,G05,2020-03-27 13:30:00,2020-03-28 15:10:12,700-36485-01PWB,支架,4801,25.67
100T,G06透明,2020-03-26 23:30:00,2020-03-27 11:30:00,700-45521-01PWA,導光柱,1728,12.0
100T,G06透明,2020-03-27 15:30:00,2020-03-28 03:30:00,700-38589-01WA,導光柱,2472,12.0
100T,G07,2020-03-26 19:30:00,2020-03-27 19:30:00,1B33LM400-02E,右把手(已成型貼貼紙),1440,24.0
100T,G08,2020-03-26 19:30:00,2020-03-29 03:03:36,700-44607-03PWB,支架,8001,55.56
